spk_id,gender,household_id,hh_size,OA,LSOA,MSOA
spk-f-47234,female,E00069547_HH000033,2,E00069547,E01013787,E02002867
spk-f-45811,female,E00069547_HH000012,1,E00069547,E01013787,E02002867
spk-m-47993,male,E00069547_HH000105,4,E00069547,E01013787,E02002867
spk-m-47443,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-f-44865,female,E00069547_HH000007,1,E00069547,E01013787,E02002867
spk-f-46835,female,E00069547_HH000028,1,E00069547,E01013787,E02002867
spk-m-46761,male,E00069547_HH000081,2,E00069547,E01013787,E02002867
spk-m-47943,male,E00069547_HH000104,5,E00069547,E01013787,E02002867
spk-m-46992,male,E00069547_HH000088,2,E00069547,E01013787,E02002867
spk-f-44573,female,E00069547_HH000005,1,E00069547,E01013787,E02002867
spk-f-47195,female,E00069547_HH000033,2,E00069547,E01013787,E02002867
spk-m-46239,male,E00069547_HH000072,2,E00069547,E01013787,E02002867
spk-m-47186,male,E00069547_HH000092,2,E00069547,E01013787,E02002867
spk-m-46424,male,E00069547_HH000075,2,E00069547,E01013787,E02002867
spk-m-47988,male,E00069547_HH000105,4,E00069547,E01013787,E02002867
spk-f-45603,female,E00069547_HH000011,1,E00069547,E01013787,E02002867
spk-m-44590,male,E00069547_HH000048,2,E00069547,E01013787,E02002867
spk-m-46514,male,E00069547_HH000077,2,E00069547,E01013787,E02002867
spk-m-47887,male,E00069547_HH000103,5,E00069547,E01013787,E02002867
spk-m-47605,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-f-20851,female,E00069547_HH000001,1,E00069547,E01013787,E02002867
spk-m-47841,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-47394,male,E00069547_HH000096,2,E00069547,E01013787,E02002867
spk-m-45076,male,E00069547_HH000052,2,E00069547,E01013787,E02002867
spk-m-47416,male,E00069547_HH000097,2,E00069547,E01013787,E02002867
spk-m-44618,male,E00069547_HH000049,2,E00069547,E01013787,E02002867
spk-f-48033,female,E00069547_HH000039,2,E00069547,E01013787,E02002867
spk-m-46913,male,E00069547_HH000084,2,E00069547,E01013787,E02002867
spk-f-46972,female,E00069547_HH000029,1,E00069547,E01013787,E02002867
spk-f-47711,female,E00069547_HH000037,2,E00069547,E01013787,E02002867
spk-m-46619,male,E00069547_HH000078,2,E00069547,E01013787,E02002867
spk-f-46743,female,E00069547_HH000024,1,E00069547,E01013787,E02002867
spk-m-47304,male,E00069547_HH000095,2,E00069547,E01013787,E02002867
spk-m-47224,male,E00069547_HH000093,2,E00069547,E01013787,E02002867
spk-m-45718,male,E00069547_HH000057,2,E00069547,E01013787,E02002867
spk-f-47610,female,E00069547_HH000036,2,E00069547,E01013787,E02002867
spk-m-47648,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-f-48145,female,E00069547_HH000040,2,E00069547,E01013787,E02002867
spk-m-45993,male,E00069547_HH000064,2,E00069547,E01013787,E02002867
spk-m-47402,male,E00069547_HH000096,2,E00069547,E01013787,E02002867
spk-f-47942,female,E00069547_HH000038,2,E00069547,E01013787,E02002867
spk-m-47011,male,E00069547_HH000088,2,E00069547,E01013787,E02002867
spk-f-44490,female,E00069547_HH000004,1,E00069547,E01013787,E02002867
spk-m-46120,male,E00069547_HH000069,2,E00069547,E01013787,E02002867
spk-f-48412,female,E00069547_HH000043,2,E00069547,E01013787,E02002867
spk-m-46874,male,E00069547_HH000083,2,E00069547,E01013787,E02002867
spk-m-47850,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-47417,male,E00069547_HH000098,2,E00069547,E01013787,E02002867
spk-m-47895,male,E00069547_HH000103,5,E00069547,E01013787,E02002867
spk-f-48221,female,E00069547_HH000041,2,E00069547,E01013787,E02002867
spk-m-45658,male,E00069547_HH000057,2,E00069547,E01013787,E02002867
spk-f-47239,female,E00069547_HH000034,2,E00069547,E01013787,E02002867
spk-f-45145,female,E00069547_HH000008,1,E00069547,E01013787,E02002867
spk-m-46228,male,E00069547_HH000072,2,E00069547,E01013787,E02002867
spk-m-45896,male,E00069547_HH000062,2,E00069547,E01013787,E02002867
spk-m-45745,male,E00069547_HH000058,2,E00069547,E01013787,E02002867
spk-m-47795,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-47856,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-45819,male,E00069547_HH000061,2,E00069547,E01013787,E02002867
spk-f-45190,female,E00069547_HH000009,1,E00069547,E01013787,E02002867
spk-f-46028,female,E00069547_HH000014,1,E00069547,E01013787,E02002867
spk-m-21333,male,E00069547_HH000046,2,E00069547,E01013787,E02002867
spk-m-47739,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-46836,male,E00069547_HH000082,2,E00069547,E01013787,E02002867
spk-f-46343,female,E00069547_HH000018,1,E00069547,E01013787,E02002867
spk-m-45172,male,E00069547_HH000053,2,E00069547,E01013787,E02002867
spk-m-47789,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-46895,male,E00069547_HH000084,2,E00069547,E01013787,E02002867
spk-m-47640,male,E00069547_HH000100,6,E00069547,E01013787,E02002867
spk-m-47886,male,E00069547_HH000103,5,E00069547,E01013787,E02002867
spk-m-44608,male,E00069547_HH000048,2,E00069547,E01013787,E02002867
spk-f-48428,female,E00069547_HH000044,2,E00069547,E01013787,E02002867
spk-m-46192,male,E00069547_HH000070,2,E00069547,E01013787,E02002867
spk-f-48270,female,E00069547_HH000042,2,E00069547,E01013787,E02002867
spk-m-48010,male,E00069547_HH000105,4,E00069547,E01013787,E02002867
spk-m-47552,male,E00069547_HH000099,7,E00069547,E01013787,E02002867
spk-m-14988,male,E00069547_HH000046,2,E00069547,E01013787,E02002867
spk-f-48150,female,E00069547_HH000041,2,E00069547,E01013787,E02002867
spk-m-45813,male,E00069547_HH000061,2,E00069547,E01013787,E02002867
spk-f-46592,female,E00069547_HH000022,1,E00069547,E01013787,E02002867
spk-f-48615,female,E00069547_HH000045,2,E00069547,E01013787,E02002867
spk-m-47412,male,E00069547_HH000097,2,E00069547,E01013787,E02002867
spk-m-47966,male,E00069547_HH000104,5,E00069547,E01013787,E02002867
spk-m-46776,male,E00069547_HH000081,2,E00069547,E01013787,E02002867
spk-f-47593,female,E00069547_HH000035,2,E00069547,E01013787,E02002867
spk-m-47363,male,E00069547_HH000095,2,E00069547,E01013787,E02002867
spk-m-47931,male,E00069547_HH000104,5,E00069547,E01013787,E02002867
spk-f-43606,female,E00069547_HH000002,1,E00069547,E01013787,E02002867
spk-f-48368,female,E00069547_HH000043,2,E00069547,E01013787,E02002867
spk-m-47160,male,E00069547_HH000091,2,E00069547,E01013787,E02002867
spk-m-46796,male,E00069547_HH000082,2,E00069547,E01013787,E02002867
spk-m-47201,male,E00069547_HH000092,2,E00069547,E01013787,E02002867
spk-m-46106,male,E00069547_HH000068,2,E00069547,E01013787,E02002867
spk-m-46050,male,E00069547_HH000066,2,E00069547,E01013787,E02002867
spk-m-46399,male,E00069547_HH000075,2,E00069547,E01013787,E02002867
spk-m-45809,male,E00069547_HH000060,2,E00069547,E01013787,E02002867
spk-m-45376,male,E00069547_HH000054,2,E00069547,E01013787,E02002867
spk-m-46538,male,E00069547_HH000077,2,E00069547,E01013787,E02002867
spk-m-48056,male,E00069547_HH000106,3,E00069547,E01013787,E02002867
spk-f-46552,female,E00069547_HH000021,1,E00069547,E01013787,E02002867
spk-m-47877,male,E00069547_HH000102,6,E00069547,E01013787,E02002867
spk-m-45104,male,E00069547_HH000052,2,E00069547,E01013787,E02002867
spk-m-46136,male,E00069547_HH000070,2,E00069547,E01013787,E02002867
spk-f-46074,female,E00069547_HH000015,1,E00069547,E01013787,E02002867
spk-m-45933,male,E00069547_HH000063,2,E00069547,E01013787,E02002867
spk-m-47746,male,E00069547_HH000101,6,E00069547,E01013787,E02002867
spk-m-46104,male,E00069547_HH000068,2,E00069547,E01013787,E02002867
spk-f-49700,female,E00069548_HH000034,1,E00069548,E01013787,E02002867
spk-m-48420,male,E00069548_HH000077,2,E00069548,E01013787,E02002867
spk-m-50106,male,E00069548_HH000138,5,E00069548,E01013787,E02002867
spk-m-50281,male,E00069548_HH000142,3,E00069548,E01013787,E02002867
spk-m-49021,male,E00069548_HH000100,2,E00069548,E01013787,E02002867
spk-f-49037,female,E00069548_HH000010,1,E00069548,E01013787,E02002867
spk-m-48962,male,E00069548_HH000096,2,E00069548,E01013787,E02002867
spk-m-49631,male,E00069548_HH000124,2,E00069548,E01013787,E02002867
spk-m-48942,male,E00069548_HH000095,2,E00069548,E01013787,E02002867
spk-m-49070,male,E00069548_HH000100,2,E00069548,E01013787,E02002867
spk-m-49887,male,E00069548_HH000133,2,E00069548,E01013787,E02002867
spk-m-48213,male,E00069548_HH000069,2,E00069548,E01013787,E02002867
spk-m-49888,male,E00069548_HH000134,2,E00069548,E01013787,E02002867
spk-m-49721,male,E00069548_HH000127,2,E00069548,E01013787,E02002867
spk-f-50102,female,E00069548_HH000043,1,E00069548,E01013787,E02002867
spk-m-49765,male,E00069548_HH000128,2,E00069548,E01013787,E02002867
spk-f-50733,female,E00069548_HH000056,2,E00069548,E01013787,E02002867
spk-m-48191,male,E00069548_HH000068,2,E00069548,E01013787,E02002867
spk-m-48612,male,E00069548_HH000082,2,E00069548,E01013787,E02002867
spk-m-48935,male,E00069548_HH000094,2,E00069548,E01013787,E02002867
spk-m-50294,male,E00069548_HH000143,3,E00069548,E01013787,E02002867
spk-m-50331,male,E00069548_HH000145,3,E00069548,E01013787,E02002867
spk-m-49674,male,E00069548_HH000126,2,E00069548,E01013787,E02002867
spk-m-50080,male,E00069548_HH000137,5,E00069548,E01013787,E02002867
spk-f-50150,female,E00069548_HH000046,2,E00069548,E01013787,E02002867
spk-m-48086,male,E00069548_HH000061,2,E00069548,E01013787,E02002867
spk-f-50814,female,E00069548_HH000057,2,E00069548,E01013787,E02002867
spk-m-48067,male,E00069548_HH000060,2,E00069548,E01013787,E02002867
spk-m-49837,male,E00069548_HH000131,2,E00069548,E01013787,E02002867
spk-m-50398,male,E00069548_HH000148,3,E00069548,E01013787,E02002867
spk-f-50145,female,E00069548_HH000045,2,E00069548,E01013787,E02002867
spk-m-48463,male,E00069548_HH000078,2,E00069548,E01013787,E02002867
spk-f-50468,female,E00069548_HH000053,2,E00069548,E01013787,E02002867
spk-m-49841,male,E00069548_HH000131,2,E00069548,E01013787,E02002867
spk-m-48941,male,E00069548_HH000094,2,E00069548,E01013787,E02002867
spk-f-49655,female,E00069548_HH000031,1,E00069548,E01013787,E02002867
spk-f-49368,female,E00069548_HH000023,1,E00069548,E01013787,E02002867
spk-f-49429,female,E00069548_HH000025,1,E00069548,E01013787,E02002867
spk-m-48758,male,E00069548_HH000086,2,E00069548,E01013787,E02002867
spk-m-49296,male,E00069548_HH000111,2,E00069548,E01013787,E02002867
spk-m-48092,male,E00069548_HH000062,2,E00069548,E01013787,E02002867
spk-m-50309,male,E00069548_HH000143,3,E00069548,E01013787,E02002867
spk-m-50049,male,E00069548_HH000137,5,E00069548,E01013787,E02002867
spk-m-48624,male,E00069548_HH000083,2,E00069548,E01013787,E02002867
spk-m-49482,male,E00069548_HH000121,2,E00069548,E01013787,E02002867
spk-m-50190,male,E00069548_HH000139,5,E00069548,E01013787,E02002867
spk-m-49215,male,E00069548_HH000107,2,E00069548,E01013787,E02002867
spk-f-48894,female,E00069548_HH000007,1,E00069548,E01013787,E02002867
spk-m-50091,male,E00069548_HH000137,5,E00069548,E01013787,E02002867
spk-m-48058,male,E00069548_HH000059,2,E00069548,E01013787,E02002867
spk-m-48162,male,E00069548_HH000065,2,E00069548,E01013787,E02002867
spk-f-50361,female,E00069548_HH000051,2,E00069548,E01013787,E02002867
spk-f-49501,female,E00069548_HH000026,1,E00069548,E01013787,E02002867
spk-m-48300,male,E00069548_HH000071,2,E00069548,E01013787,E02002867
spk-m-48963,male,E00069548_HH000096,2,E00069548,E01013787,E02002867
spk-f-49255,female,E00069548_HH000020,1,E00069548,E01013787,E02002867
spk-m-48180,male,E00069548_HH000066,2,E00069548,E01013787,E02002867
spk-m-48848,male,E00069548_HH000091,2,E00069548,E01013787,E02002867
spk-m-49381,male,E00069548_HH000115,2,E00069548,E01013787,E02002867
spk-f-48867,female,E00069548_HH000006,1,E00069548,E01013787,E02002867
spk-m-48661,male,E00069548_HH000085,2,E00069548,E01013787,E02002867
spk-m-50030,male,E00069548_HH000136,5,E00069548,E01013787,E02002867
spk-m-49473,male,E00069548_HH000120,2,E00069548,E01013787,E02002867
spk-m-49240,male,E00069548_HH000109,2,E00069548,E01013787,E02002867
spk-f-49181,female,E00069548_HH000016,1,E00069548,E01013787,E02002867
spk-f-49049,female,E00069548_HH000011,1,E00069548,E01013787,E02002867
spk-m-49084,male,E00069548_HH000101,2,E00069548,E01013787,E02002867
spk-f-49958,female,E00069548_HH000038,1,E00069548,E01013787,E02002867
spk-f-49199,female,E00069548_HH000017,1,E00069548,E01013787,E02002867
spk-m-49786,male,E00069548_HH000129,2,E00069548,E01013787,E02002867
spk-m-50195,male,E00069548_HH000139,5,E00069548,E01013787,E02002867
spk-f-50779,female,E00069548_HH000056,2,E00069548,E01013787,E02002867
spk-m-50345,male,E00069548_HH000146,3,E00069548,E01013787,E02002867
spk-m-48749,male,E00069548_HH000086,2,E00069548,E01013787,E02002867
spk-m-48906,male,E00069548_HH000092,2,E00069548,E01013787,E02002867
spk-m-50332,male,E00069548_HH000145,3,E00069548,E01013787,E02002867
spk-m-49471,male,E00069548_HH000119,2,E00069548,E01013787,E02002867
spk-m-49477,male,E00069548_HH000120,2,E00069548,E01013787,E02002867
spk-f-49218,female,E00069548_HH000019,1,E00069548,E01013787,E02002867
spk-m-48501,male,E00069548_HH000080,2,E00069548,E01013787,E02002867
spk-m-49689,male,E00069548_HH000127,2,E00069548,E01013787,E02002867
spk-m-48151,male,E00069548_HH000064,2,E00069548,E01013787,E02002867
spk-m-49569,male,E00069548_HH000123,2,E00069548,E01013787,E02002867
spk-m-48340,male,E00069548_HH000073,2,E00069548,E01013787,E02002867
spk-m-49266,male,E00069548_HH000110,2,E00069548,E01013787,E02002867
spk-f-50310,female,E00069548_HH000050,2,E00069548,E01013787,E02002867
spk-m-48448,male,E00069548_HH000077,2,E00069548,E01013787,E02002867
spk-m-49795,male,E00069548_HH000129,2,E00069548,E01013787,E02002867
spk-f-49996,female,E00069548_HH000039,1,E00069548,E01013787,E02002867
spk-m-49198,male,E00069548_HH000105,2,E00069548,E01013787,E02002867
spk-m-48236,male,E00069548_HH000069,2,E00069548,E01013787,E02002867
spk-f-50413,female,E00069548_HH000051,2,E00069548,E01013787,E02002867
spk-m-50242,male,E00069548_HH000141,4,E00069548,E01013787,E02002867
spk-m-48918,male,E00069548_HH000093,2,E00069548,E01013787,E02002867
spk-m-49336,male,E00069548_HH000113,2,E00069548,E01013787,E02002867
spk-f-49684,female,E00069548_HH000032,1,E00069548,E01013787,E02002867
spk-m-50276,male,E00069548_HH000141,4,E00069548,E01013787,E02002867
spk-m-48087,male,E00069548_HH000062,2,E00069548,E01013787,E02002867
spk-m-49458,male,E00069548_HH000119,2,E00069548,E01013787,E02002867
spk-m-48662,male,E00069548_HH000085,2,E00069548,E01013787,E02002867
spk-m-50163,male,E00069548_HH000138,5,E00069548,E01013787,E02002867
spk-m-48537,male,E00069548_HH000080,2,E00069548,E01013787,E02002867
spk-m-49104,male,E00069548_HH000102,2,E00069548,E01013787,E02002867
spk-m-48468,male,E00069548_HH000079,2,E00069548,E01013787,E02002867
spk-m-49344,male,E00069548_HH000113,2,E00069548,E01013787,E02002867
spk-m-48485,male,E00069548_HH000079,2,E00069548,E01013787,E02002867
spk-m-49201,male,E00069548_HH000105,2,E00069548,E01013787,E02002867
spk-f-50835,female,E00069548_HH000057,2,E00069548,E01013787,E02002867
spk-m-48588,male,E00069548_HH000081,2,E00069548,E01013787,E02002867
spk-f-48738,female,E00069548_HH000003,1,E00069548,E01013787,E02002867
spk-m-48372,male,E00069548_HH000075,2,E00069548,E01013787,E02002867
spk-m-48075,male,E00069548_HH000061,2,E00069548,E01013787,E02002867
spk-m-48563,male,E00069548_HH000081,2,E00069548,E01013787,E02002867
spk-m-48966,male,E00069548_HH000097,2,E00069548,E01013787,E02002867
spk-m-49014,male,E00069548_HH000099,2,E00069548,E01013787,E02002867
spk-m-48275,male,E00069548_HH000071,2,E00069548,E01013787,E02002867
spk-m-49236,male,E00069548_HH000108,2,E00069548,E01013787,E02002867
spk-m-50321,male,E00069548_HH000144,3,E00069548,E01013787,E02002867
spk-m-49375,male,E00069548_HH000114,2,E00069548,E01013787,E02002867
spk-m-49941,male,E00069548_HH000135,6,E00069548,E01013787,E02002867
spk-m-48600,male,E00069548_HH000082,2,E00069548,E01013787,E02002867
spk-m-48064,male,E00069548_HH000060,2,E00069548,E01013787,E02002867
spk-m-49978,male,E00069548_HH000135,6,E00069548,E01013787,E02002867
spk-f-49638,female,E00069548_HH000030,1,E00069548,E01013787,E02002867
spk-m-50193,male,E00069548_HH000139,5,E00069548,E01013787,E02002867
spk-m-49868,male,E00069548_HH000132,2,E00069548,E01013787,E02002867
spk-m-50207,male,E00069548_HH000139,5,E00069548,E01013787,E02002867
spk-m-49319,male,E00069548_HH000112,2,E00069548,E01013787,E02002867
spk-m-48790,male,E00069548_HH000089,2,E00069548,E01013787,E02002867
spk-m-49152,male,E00069548_HH000102,2,E00069548,E01013787,E02002867
spk-m-49417,male,E00069548_HH000115,2,E00069548,E01013787,E02002867
spk-f-50721,female,E00069548_HH000055,2,E00069548,E01013787,E02002867
spk-m-49213,male,E00069548_HH000106,2,E00069548,E01013787,E02002867
spk-m-48163,male,E00069548_HH000065,2,E00069548,E01013787,E02002867
spk-m-49369,male,E00069548_HH000114,2,E00069548,E01013787,E02002867
spk-f-49100,female,E00069548_HH000013,1,E00069548,E01013787,E02002867
spk-f-49832,female,E00069548_HH000036,1,E00069548,E01013787,E02002867
spk-f-49559,female,E00069548_HH000029,1,E00069548,E01013787,E02002867
spk-m-50343,male,E00069548_HH000146,3,E00069548,E01013787,E02002867
spk-m-50302,male,E00069548_HH000143,3,E00069548,E01013787,E02002867
spk-f-50265,female,E00069548_HH000048,2,E00069548,E01013787,E02002867
spk-m-48253,male,E00069548_HH000070,2,E00069548,E01013787,E02002867
spk-m-49298,male,E00069548_HH000111,2,E00069548,E01013787,E02002867
spk-m-49511,male,E00069548_HH000121,2,E00069548,E01013787,E02002867
spk-f-50070,female,E00069548_HH000042,1,E00069548,E01013787,E02002867
spk-m-50005,male,E00069548_HH000136,5,E00069548,E01013787,E02002867
spk-m-49418,male,E00069548_HH000116,2,E00069548,E01013787,E02002867
spk-m-48836,male,E00069548_HH000091,2,E00069548,E01013787,E02002867
spk-f-49508,female,E00069548_HH000027,1,E00069548,E01013787,E02002867
spk-m-50364,male,E00069548_HH000146,3,E00069548,E01013787,E02002867
spk-m-48928,male,E00069548_HH000093,2,E00069548,E01013787,E02002867
spk-m-50312,male,E00069548_HH000144,3,E00069548,E01013787,E02002867
spk-f-48633,female,E00069548_HH000001,1,E00069548,E01013787,E02002867
spk-m-50186,male,E00069548_HH000138,5,E00069548,E01013787,E02002867
spk-m-48334,male,E00069548_HH000073,2,E00069548,E01013787,E02002867
spk-m-49876,male,E00069548_HH000133,2,E00069548,E01013787,E02002867
spk-m-49809,male,E00069548_HH000130,2,E00069548,E01013787,E02002867
spk-m-48314,male,E00069548_HH000072,2,E00069548,E01013787,E02002867
spk-f-49878,female,E00069548_HH000037,1,E00069548,E01013787,E02002867
spk-f-50469,female,E00069548_HH000053,2,E00069548,E01013787,E02002867
spk-m-49011,male,E00069548_HH000098,2,E00069548,E01013787,E02002867
spk-m-49557,male,E00069548_HH000122,2,E00069548,E01013787,E02002867
spk-m-49919,male,E00069548_HH000134,2,E00069548,E01013787,E02002867
spk-m-49643,male,E00069548_HH000125,2,E00069548,E01013787,E02002867
spk-f-49069,female,E00069548_HH000012,1,E00069548,E01013787,E02002867
spk-m-50397,male,E00069548_HH000147,3,E00069548,E01013787,E02002867
spk-m-50113,male,E00069548_HH000138,5,E00069548,E01013787,E02002867
spk-f-49536,female,E00069548_HH000028,1,E00069548,E01013787,E02002867
spk-m-50392,male,E00069548_HH000147,3,E00069548,E01013787,E02002867
spk-f-48850,female,E00069548_HH000005,1,E00069548,E01013787,E02002867
